iter	Passed	Remaining
0	120	120568
1	121	60541
2	121	40524
3	122	30503
4	123	24564
5	123	20538
6	124	17662
7	125	15505
8	125	13853
9	126	12517
10	127	11418
11	127	10500
12	128	9725
13	128	9064
14	129	8487
15	129	7980
16	130	7535
17	130	7142
18	131	6788
19	132	6471
20	132	6182
21	133	5919
22	133	5679
23	134	5461
24	134	5260
25	135	5072
26	136	4902
27	136	4742
28	137	4591
29	137	4450
30	138	4319
31	138	4195
32	139	4079
33	139	3969
34	140	3867
35	140	3769
36	141	3679
37	141	3593
38	142	3510
39	142	3430
40	143	3355
41	144	3287
42	144	3223
43	145	3158
44	145	3098
45	146	3038
46	147	2981
47	147	2927
48	148	2877
49	148	2826
50	149	2777
51	149	2730
52	150	2685
53	151	2645
54	151	2604
55	152	2565
56	152	2526
57	153	2489
58	153	2452
59	154	2417
60	154	2382
61	155	2349
62	155	2317
63	156	2287
64	156	2257
65	157	2228
66	157	2199
67	158	2168
68	158	2141
69	159	2115
70	159	2090
71	160	2065
72	160	2041
73	161	2018
74	161	1995
75	162	1973
76	162	1952
77	163	1931
78	163	1911
79	164	1891
80	164	1871
81	165	1852
82	165	1833
83	166	1815
84	166	1795
85	167	1778
86	167	1760
87	168	1743
88	168	1727
89	169	1711
90	169	1695
91	170	1680
92	170	1665
93	171	1651
94	171	1636
95	172	1622
96	172	1609
97	173	1595
98	173	1582
99	174	1569
100	174	1556
101	175	1542
102	175	1529
103	176	1517
104	176	1506
105	177	1494
106	177	1483
107	178	1471
108	178	1461
109	179	1450
110	179	1439
111	180	1429
112	180	1419
113	181	1409
114	181	1399
115	182	1388
116	182	1379
117	183	1370
118	183	1359
119	184	1351
120	184	1342
121	185	1333
122	185	1323
123	186	1314
124	186	1306
125	187	1297
126	187	1289
127	187	1280
128	188	1272
129	188	1264
130	189	1257
131	190	1249
132	190	1242
133	191	1234
134	191	1227
135	192	1220
136	192	1213
137	192	1205
138	193	1198
139	193	1191
140	194	1184
141	195	1178
142	195	1172
143	196	1165
144	196	1159
145	197	1152
146	197	1146
147	198	1140
148	198	1134
149	199	1128
150	199	1122
151	200	1116
152	200	1110
153	201	1105
154	201	1099
155	202	1094
156	202	1088
157	203	1083
158	203	1077
159	204	1072
160	204	1067
161	205	1061
162	205	1056
163	206	1051
164	206	1047
165	207	1042
166	207	1037
167	208	1032
168	208	1027
169	209	1023
170	210	1018
171	210	1013
172	211	1009
173	211	1004
174	212	1000
175	212	995
176	213	991
177	213	986
178	214	982
179	214	978
180	214	972
181	215	968
182	215	964
183	216	959
184	216	955
185	217	951
186	218	947
187	218	943
188	219	939
189	219	936
190	220	932
191	220	928
192	221	924
193	221	920
194	222	916
195	222	913
196	223	909
197	223	906
